driver_id,num_trips,total_miles,total_drive_time_min,avg_trip_duration_min,avg_trip_miles,avg_speed_overall,max_speed_overall,total_harsh_brakes,total_harsh_accels,avg_num_harsh_brakes,avg_num_harsh_accels,night_trip_pct_overall,idling_pct_overall,urban_pct_overall,highway_pct_overall,years_driving,num_claims,num_violations,vehicle_age,vehicle_type,insurance_policy_length_years,claims_weighted_score,vehicle_type_num,risk_score
driver_10,10,108.77693027606406,260.75,26.075,10.877693027606409,24.966993268687787,90.0,8,17,0.8,1.7,0.113454777884308,0.1326302333013742,0.4001278363694471,0.1987855544902524,7,0,4,8,SUV,3,60,1,100.0
driver_11,10,151.53906432858048,363.33333333333337,36.333333333333336,15.153906432858047,25.03254273121828,90.0,15,18,1.5,1.8,0.533256880733945,0.1194954128440366,0.4002293577981651,0.1986238532110091,20,0,1,14,Sedan,1,15,0,100.0
driver_12,10,120.9375514181166,287.8333333333333,28.78333333333333,12.09375514181166,25.0097315159141,90.0,9,14,0.9,1.4,0.2081644470179502,0.1175448755066588,0.3998262883613202,0.1986103068905616,29,0,0,14,Sedan,5,0,0,100.0
driver_13,10,123.17140061709054,294.5,29.45,12.317140061709054,25.08949839101743,87.14674488656723,14,19,1.4,1.9,0.3924731182795699,0.1211092246745896,0.399830220713073,0.1989247311827957,15,0,0,9,Sedan,1,0,0,100.0
driver_14,10,137.03127682079722,328.83333333333326,32.883333333333326,13.70312768207972,24.855585726100543,90.0,8,18,0.8,1.8,0.1961479979726305,0.1208819057273187,0.3998986315255956,0.1989356310187532,11,0,0,9,Sedan,8,0,0,100.0
driver_15,10,88.1255543582004,212.08333333333331,21.208333333333332,8.812555435820041,25.090528752281013,90.0,6,13,0.6,1.3,0.1328094302554027,0.1190569744597249,0.4000000000000001,0.1980353634577602,8,0,0,11,Sedan,1,0,0,100.0
driver_16,10,115.04524686748373,276.33333333333326,27.63333333333333,11.504524686748372,24.960004547883493,90.0,13,15,1.3,1.5,0.5235223160434259,0.1224366706875753,0.4007840772014476,0.1981302774427021,29,0,0,12,Truck,1,0,3,100.0
driver_17,10,139.53192542488304,336.3333333333333,33.63333333333333,13.953192542488305,24.800055857194124,90.0,11,19,1.1,1.9,0.2534687809712587,0.1266105054509415,0.3999008919722497,0.1989593657086223,21,0,1,2,Sedan,2,15,0,100.0
driver_18,10,145.43865407352826,347.5833333333333,34.75833333333333,14.543865407352826,25.053613662023913,90.0,5,25,0.5,2.5,0.2716374970031167,0.1153200671301846,0.3996643490769599,0.1992327978901942,7,0,0,14,Sedan,2,0,0,100.0
driver_19,10,101.45623805663264,241.00000000000003,24.1,10.145623805663265,24.95550608040515,90.0,14,14,1.4,1.4,0.2939142461964038,0.1189488243430151,0.400414937759336,0.1988243430152143,26,1,0,6,Sedan,6,25,0,100.0
driver_1,10,120.56196372427236,287.4166666666667,28.741666666666667,12.056196372427236,25.050592037826497,89.39655983200008,8,15,0.8,1.5,0.4543345897361554,0.1171354015656711,0.3998260365323282,0.1991881704841983,19,0,0,0,Truck,7,0,3,100.0
driver_20,10,96.23813050118886,230.58333333333337,23.058333333333337,9.623813050118889,24.99683900322835,87.85921901934688,7,16,0.7,1.6,0.3418865196964221,0.1189013371882905,0.4004336826888326,0.1984098301409468,23,0,1,3,Sedan,5,15,0,100.0
driver_21,10,111.50549116247588,267.3333333333333,26.73333333333333,11.150549116247587,25.15740582006223,89.62620182174221,18,17,1.8,1.7,0.2543640897755611,0.1243765586034912,0.3999376558603492,0.1991895261845386,11,0,2,12,SUV,1,30,1,100.0
driver_22,10,122.22433501252245,292.1666666666667,29.21666666666667,12.222433501252244,25.124926756136347,90.0,8,18,0.8,1.8,0.0,0.114660581859669,0.3996006845407872,0.1990872789503707,11,0,0,3,Sedan,1,0,0,100.0
driver_23,10,89.02210634447434,215.25,21.525,8.902210634447433,24.583470416209657,90.0,11,17,1.1,1.7,0.0681378242353852,0.1277584204413472,0.3999225706542779,0.1986062717770035,24,0,1,13,Sedan,3,15,0,100.0
driver_24,10,118.55936567709472,282.25,28.225,11.855936567709472,25.155335485760723,88.59098281473001,4,17,0.4,1.7,0.3758488337762031,0.1163271331561854,0.3997638027753174,0.1989961617950988,21,0,1,4,Sedan,2,15,0,100.0
driver_25,10,124.93835342594956,295.9166666666667,29.59166666666667,12.493835342594958,25.326613070347243,89.95076168496745,11,22,1.1,2.2,0.2030413967896367,0.1123627147282455,0.3996057448606026,0.1990988453956631,4,2,0,6,Sedan,5,50,0,100.0
driver_26,10,78.73162363802544,188.91666666666663,18.891666666666666,7.873162363802544,25.016511724750448,88.48880637053138,7,19,0.7,1.9,0.2880458756065284,0.1195412439347154,0.3996471107190119,0.1985002205558005,8,0,0,6,SUV,6,0,1,100.0
driver_27,10,144.08443718016773,347.16666666666674,34.716666666666676,14.408443718016771,24.853604508915964,90.0,9,21,0.9,2.1,0.1541046567450791,0.1228996639462313,0.3999039846375418,0.1989918386941909,24,0,0,12,Sedan,7,0,0,100.0
driver_28,10,163.38079287423918,390.91666666666663,39.09166666666666,16.338079287423916,25.099617383901652,90.0,6,22,0.6,2.2,0.3660200383713494,0.1189511831166062,0.3997015561713921,0.1993178426774675,3,0,1,14,SUV,4,15,1,100.0
